condition,frame,canonical_filename,original_filename,old_postimages_url,size_kb
BOOKFAIR_FE,1,BOOKFAIR_FE_01.jpg,Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(1).png,https://i.postimg.cc/gJ47kZG4/Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(1).png,227.3
BOOKFAIR_FE,2,BOOKFAIR_FE_02.jpg,Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(2).png,https://i.postimg.cc/vBXKHVGh/Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(2).png,235.4
BOOKFAIR_FE,3,BOOKFAIR_FE_03.jpg,Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(3).png,https://i.postimg.cc/9M1kF7cJ/Chat-GPT-Image-Jul-4-2026-at-08-46-04-PM-(3).png,243.2
BOOKFAIR_FE,4,BOOKFAIR_FE_04.jpg,IMG-0486.jpg,https://i.postimg.cc/ZRjQKdJP/IMG-0486.jpg,160.4
BOOKFAIR_FE,5,BOOKFAIR_FE_05.jpg,IMG-0489.jpg,https://i.postimg.cc/TwQsYDTt/IMG-0489.jpg,150.8
BOOKFAIR_FU,1,BOOKFAIR_FU_01.jpg,Chat-GPT-Image-Jul-4-2026-at-08-36-58-PM.png,https://i.postimg.cc/LsxkJBZ2/Chat-GPT-Image-Jul-4-2026-at-08-36-58-PM.png,232.6
BOOKFAIR_FU,2,BOOKFAIR_FU_02.jpg,IMG-0480.jpg,https://i.postimg.cc/fb87Vj04/IMG-0480.jpg,159.3
BOOKFAIR_FU,3,BOOKFAIR_FU_03.jpg,IMG-0481.jpg,https://i.postimg.cc/FKTbYgJQ/IMG-0481.jpg,157.1
BOOKFAIR_FU,4,BOOKFAIR_FU_04.jpg,IMG-0482.jpg,https://i.postimg.cc/Jhp3scBC/IMG-0482.jpg,158.8
BOOKFAIR_FU,5,BOOKFAIR_FU_05.jpg,IMG-0483.jpg,https://i.postimg.cc/1zv08cNP/IMG-0483.jpg,148.0
BOOKFAIR_NE,1,BOOKFAIR_NE_01.jpg,IMG-0491.jpg,https://i.postimg.cc/dVvSd6Dn/IMG-0491.jpg,151.4
BOOKFAIR_NE,2,BOOKFAIR_NE_02.jpg,IMG-0492.jpg,https://i.postimg.cc/4xZFtPnW/IMG-0492.jpg,157.9
BOOKFAIR_NE,3,BOOKFAIR_NE_03.jpg,IMG-0493.jpg,https://i.postimg.cc/rwcYWjzj/IMG-0493.jpg,91.4
BOOKFAIR_NE,4,BOOKFAIR_NE_04.jpg,IMG-0494.jpg,https://i.postimg.cc/DwFYs6mB/IMG-0494.jpg,122.3
BOOKFAIR_NE,5,BOOKFAIR_NE_05.jpg,IMG-0495.jpg,https://i.postimg.cc/DwgpcGbq/IMG-0495.jpg,126.2
BOOKFAIR_NU,1,BOOKFAIR_NU_01.jpg,IMG-0497.jpg,https://i.postimg.cc/DfPG0cVN/IMG-0497.jpg,96.0
BOOKFAIR_NU,2,BOOKFAIR_NU_02.jpg,IMG-0498.jpg,https://i.postimg.cc/2j7WyxpP/IMG-0498.jpg,115.3
BOOKFAIR_NU,3,BOOKFAIR_NU_03.jpg,IMG-0499.jpg,https://i.postimg.cc/ryN4s96b/IMG-0499.jpg,115.0
BOOKFAIR_NU,4,BOOKFAIR_NU_04.jpg,IMG-0500.jpg,https://i.postimg.cc/pVJjrBN3/IMG-0500.jpg,100.9
BOOKFAIR_NU,5,BOOKFAIR_NU_05.jpg,IMG-0501.jpg,https://i.postimg.cc/050SjCRR/IMG-0501.jpg,115.6
CAFE_FE,1,CAFE_FE_01.jpg,Cafe-FE-v2-frame-01-counter-setup.png,https://i.postimg.cc/85v5hvHb/Cafe-FE-v2-frame-01-counter-setup.png,172.8
CAFE_FE,2,CAFE_FE_02.jpg,Cafe-FE-v2-frame-02-customer-orders-subtitle.png,https://i.postimg.cc/50z0wz33/Cafe-FE-v2-frame-02-customer-orders-subtitle.png,171.8
